province_code,Q229NETINCOME,Ageofhead,Q61035POLICE,Q61038LIGHT,Q224ANOMONEY,income,Total_IOPBV,Total_number_of_convictions,Q531FOOD,Q531PUBTRAN,Q531PREPRIM,Q531PRIM,Q531SECOND,Q531CLINIC,Q531HOSPITAL,Q531POLICE,Q531RELIG,Q531BANK,Q531POSTOFF,Q531WELFARE,Q531MULTI,Q653AREA,Q658VALUE
9.0,5000.0,58.0,2,2,2.0,535.125,0,0,674,697,870,787,903,4788,4405,2180,612,6312,2597,13163,773,111,8939
5.0,500.0,25.0,2,2,2.0,535.125,0,0,2052,121,1000,720,367,1784,1008,1500,354,16117,18309,10501,18800,26,7976
4.0,0.0,27.0,1,1,9.0,1070.25,0,0,35,108,197,297,393,269,1211,86,22,695,549,603,28073,28,12890
5.0,600.0,25.0,1,1,1.0,537.232484,0,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,4,9055
5.0,0.0,22.0,1,1,1.0,537.232484,0,0,882,101,694,713,764,8173,2214,8364,17,11432,15640,11986,14640,16,7719
4.0,5000.0,19.0,1,1,2.0,1078.559627,1,0,192,8438,524,886,927,4829,17288,19206,4705,12151,14003,4459,5753,0,15109
3.0,1500.0,33.0,1,1,1.0,539.279813,0,0,1893,36,1120,1061,1449,1903,9196,1947,1801,2713,1169,3883,1082,20,6853
5.0,1000.0,48.0,2,1,1.0,1080.0,0,0,1265,1014,1785,1930,1000,1724,5165,3905,162,2274,1218,1394,1540,-777,-777
2.0,5000.0,58.0,2,2,1.0,543.492624,0,0,399,443,184,-999,5841,5236,6765,27607,125,348,438,295,26893,-777,-777
3.0,5000.0,47.0,1,1,2.0,1091.183224,0,0,145,1880,26,327,248,683,4044,201,16,1757,1754,540,374,37,14414
5.0,500.0,59.0,2,2,1.0,552.52338,0,0,27318,20582,21398,20301,25612,-666,-666,-666,-666,-666,-666,-666,-666,48,2408
7.0,1500.0,57.0,2,1,1.0,2273.298815,0,0,1663,326,143,892,799,2682,22106,22,58,4620,4500,3011,1523,44,15209
9.0,2000.0,54.0,1,2,2.0,6277.25,0,0,1605,238,3960,4993,3071,5038,26485,1701,7718,3192,4868,3351,2785,37,26341
8.0,4000.0,56.0,2,2,2.0,2304.161439,0,0,718,1187,1969,1908,1652,1231,26518,29656,951,21013,1974,1347,1434,45,15867
9.0,800.0,58.0,2,2,2.0,1168.959381,0,0,398,266,236,46,241,129,5954,6472,372,21116,635,5398,105,104,144
9.0,950.0,44.0,1,1,1.0,4095.390088,1,0,22,29,240,64,349,18394,-999,-999,775,24824,204,627,429,29,877
5.0,1500.0,46.0,2,2,1.0,7606.021114,0,0,3711,522,894,652,1171,720,7200,1424,975,7570,9796,5457,5047,-777,-777
2.0,2000.0,47.0,2,2,1.0,2930.404845,4,0,792,670,756,748,4601,4537,2968,4446,1470,2266,4414,2245,2849,133,45209
2.0,20000.0,37.0,2,2,1.0,588.973939,0,0,41,165,117,20,451,8669,4487,2793,486,9725,10675,19473,17102,-777,-777
6.0,5000.0,33.0,1,1,1.0,591.141537,1,0,214,889,505,1349,929,2114,28411,528,281,1426,4532,2528,2002,-777,-777
5.0,0.0,20.0,2,2,1.0,600.0,0,0,12251,65,539,904,767,552,14721,727,890,16688,14973,18234,16207,-777,-777
